id,network_code,station_code,location_code,channels,latitude,longitude,elevation
NC.BPF.,NC,BPF,,"EHZ,ELN",36.230331,-121.772003,349.0
NC.BPL.20,NC,BPL,20,"HNE,HNN,HNZ",36.46538,-121.86833,710.0
NC.BSG.01,NC,BSG,01,"EHZ,HNE,HNN,HNZ",36.413845,-121.25515,161.0
NC.C072.01,NC,C072,01,"HNE,HNN,HNZ",37.285805,-121.75589,160.0
NC.C073.01,NC,C073,01,"HNE,HNN,HNZ",37.655788,-122.05423,190.0
NC.CAL.,NC,CAL,,"EHZ,HNE,HNN,HNZ",37.450348,-121.800369,251.0
NC.CBR.10,NC,CBR,10,EHZ,37.816471,-122.063019,580.0
NC.CCY.,NC,CCY,,EHZ,37.551552,-122.091019,21.0
NC.CLCB.,NC,CLCB,,"EHZ,HNE,HNN,HNZ",37.737865,-122.064865,309.0
BK.MZTA.00,BK,MZTA,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.27792,-120.80101,2139.8
BK.PIT6.00,BK,PIT6,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.93062,-121.94795,822.2
BK.RAVE.00,BK,RAVE,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.798,-120.30841,1634.5
BK.RFSB.40,BK,RFSB,40,"BN1,BN2,BN3",37.91608,-122.336098,-27.3
BK.RSRB.,BK,RSRB,,"BL1,BL2,BL3,HL1,HL2,HL3",37.935749,-122.44648,-48.0
BK.SANG.00,BK,SANG,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.91013,-123.64922,1641.3
BK.SMCB.,BK,SMCB,,"BL1,BL2,BL3,HL1,HL2,HL3",37.83881,-122.111588,180.9
BK.SUTB.01,BK,SUTB,01,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",39.229099,-121.786102,252.0
NC.AFL.01,NC,AFL,01,"EHZ,HNE,HNN,HNZ",38.760869,-121.105383,218.0
NC.ALA.,NC,ALA,,EHZ,38.567101,-120.956932,263.0
NC.ARJ.,NC,ARJ,,EHZ,38.686256,-120.957603,437.0
NC.BJOB.,NC,BJOB,,"EHE,EHN,EHZ,HNE,HNN,HNZ",36.610867,-121.314667,1052.0
NC.BPL.01,NC,BPL,01,"EHZ,HNE,HNN,HNZ",36.46538,-121.86833,710.0
NC.BTV.01,NC,BTV,01,"EHZ,HNE,HNN,HNZ",36.455281,-121.057975,596.0
NC.BVL.,NC,BVL,,EHZ,36.574894,-121.190086,479.0
NC.BVLB.01,NC,BVLB,01,EHZ,36.571701,-121.185402,444.0
NC.C022.01,NC,C022,01,"HNE,HNN,HNZ",37.536137,-121.974953,10.0
NC.C031.01,NC,C031,01,"HNE,HNN,HNZ",37.86322,-122.276932,29.0
NC.C038.01,NC,C038,01,"HNE,HNN,HNZ",37.720459,-122.176537,28.0
NC.C068.01,NC,C068,01,"HNE,HNN,HNZ",37.644638,-122.074051,13.0
NC.CAL.01,NC,CAL,01,"EHZ,ELE,ELN,ELZ",37.450348,-121.800369,251.0
NC.CBLG.,NC,CBLG,,"EHZ,ELE,ELN,ELZ",37.7715,-118.898331,2560.0
NC.CBP.20,NC,CBP,20,"HNE,HNN,HNZ",37.747665,-121.708427,167.0
NC.CDO.,NC,CDO,,EHZ,37.730057,-121.836304,169.0
NC.CMH.,NC,CMH,,EHZ,37.359077,-121.757553,503.0
NC.CMI.,NC,CMI,,"EHZ,ELE,ELN",37.544849,-121.892403,359.0
NC.CMJ.,NC,CMJ,,EHZ,37.520237,-121.873314,479.0
NC.C008.01,NC,C008,01,"HNE,HNN,HNZ",37.895649,-122.293594,4.0
NC.C032.01,NC,C032,01,"HNE,HNN,HNZ",38.082508,-122.157593,76.0
