id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
CI.DJJ.,CI,DJJ,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.10618,-118.45505,268.0,1998.313,3000.001
CI.DLA.,CI,DLA,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.84822,-118.09624,14.0,2000.125,3000.001
CI.DLT.,CI,DLT,,EHZ,34.17003,-117.81083,550.2,1950.201,1959.214
CI.DNR.,CI,DNR,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.56667,-116.63056,1274.0,2001.295,3000.001
CI.DPP.,CI,DPP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",32.99889,-116.94187,463.0,2000.298,3000.001
CI.DRC.,CI,DRC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",32.8054,-115.44654,-15.0,1998.275,2002.198
CI.DRE.,CI,DRE,,"HHN,BHE,HHZ,HHE,BHZ,BHN",32.80532,-115.44679,-13.0,2002.198,3000.001
CI.DSC.,CI,DSC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",35.14255,-116.10395,283.0,2002.302,3000.001
CI.DSN10.A0,CI,DSN10,A0,"HHE,HHN,HHZ",34.136187,-118.127443,232.0,2016.183,2018.091
CI.DSN10.B0,CI,DSN10,B0,"HHE,HHN,HHZ",34.136187,-118.127443,232.0,2016.183,2018.091
CI.DSN5.B0,CI,DSN5,B0,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.17141,-118.18523,341.0,2010.078,3000.001
CI.DSN5.A0,CI,DSN5,A0,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.17141,-118.18523,341.0,2010.078,3000.001
CI.DSN5.50,CI,DSN5,50,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.17141,-118.18523,341.0,2010.078,3000.001
CI.DSN5.51,CI,DSN5,51,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.17141,-118.18523,341.0,2010.078,3000.001
CI.DSN6.60,CI,DSN6,60,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.17141,-118.18523,341.0,2010.078,3000.001
